Rank,Full Journal Title,Total Cites,,Journal Impact Factor,5-Year Impact Factor,Eigenfactor Score,Average Journal Impact Factor Percentile,,
120,ACS Nano,"116,242",,13.942,14.194,0.350820,96.171,,
121,Nature Geoscience,"17,861",,13.941,14.350,0.081880,99.734,,
122,JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,"514,759",,13.858,12.969,0.771940,94.277,,
123,Physics of Life Reviews,"1,327",,13.840,10.617,0.003180,99.363,,
124,Nature Reviews Gastroenterology & Hepatology,"5,699",,13.678,15.515,0.023470,96.835,,
125,Applied Physics Reviews,891,,13.667,13.667,0.004030,96.284,,
126,Annual Review of Medicine,"5,974",,13.609,13.345,0.012480,98.047,,
127,FUNGAL DIVERSITY,"4,068",,13.465,9.104,0.007800,95.000,,
128,Annual Review of Materials Research,"7,082",,13.432,19.074,0.010130,96.545,,
129,SURFACE SCIENCE REPORTS,"4,620",,13.333,17.957,0.003690,94.012,,
130,COORDINATION CHEMISTRY REVIEWS,"29,518",,13.324,12.743,0.034380,98.913,,
131,TRENDS IN IMMUNOLOGY,"10,436",,13.287,12.270,0.029060,97.020,,
132,HEPATOLOGY,"62,304",,13.246,11.930,0.109720,95.570,,
133,PROGRESS IN NEUROBIOLOGY,"12,163",,13.217,11.916,0.017980,97.490,,
134,AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,"56,793",,13.204,13.077,0.090070,96.456,,
134,MOLECULAR PSYCHIATRY,"17,452",,13.204,13.328,0.049580,97.466,,
136,BLOOD,"161,962",,13.164,10.891,0.313320,97.857,,
137,JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY,"46,218",,13.081,12.376,0.083210,97.217,,
138,Annual Review of Pharmacology and Toxicology,"7,538",,12.877,15.551,0.010290,99.047,,
139,Annual Review of Entomology,"11,445",,12.867,15.307,0.010000,99.462,,
140,ANNALS OF THE RHEUMATIC DISEASES,"39,185",,12.811,10.700,0.083710,98.333,,
141,TRENDS IN PHARMACOLOGICAL SCIENCES,"11,348",,12.797,11.077,0.019150,98.249,,
142,Physical Review X,"7,645",,12.789,12.104,0.057930,94.304,,
143,JOURNAL OF CLINICAL INVESTIGATION,"105,106",,12.784,14.415,0.183780,97.266,,
144,NANO LETTERS,"141,715",,12.712,14.298,0.354290,94.356,,
145,NATURE STRUCTURAL & MOLECULAR BIOLOGY,"26,851",,12.595,12.170,0.092800,96.260,,
146,JNCI-Journal of the National Cancer Institute,"38,391",,12.589,13.525,0.062430,96.083,,
147,JOURNAL OF HEPATOLOGY,"33,566",,12.486,11.230,0.083980,94.304,,
148,Living Reviews in Solar Physics,974,,12.455,17.857,0.004100,97.619,,
149,Nano Energy,"13,433",,12.343,12.924,0.038000,94.823,,
150,REVIEWS OF GEOPHYSICS,"9,104",,12.340,15.790,0.011290,99.405,,
151,Annual Review of Marine Science,"2,785",,12.333,16.056,0.009910,98.981,,
152,JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY C-PHOTOCHEMISTRY REVIEWS,"3,171",,12.317,15.533,0.004770,94.178,,
153,ACTA NEUROPATHOLOGICA,"16,462",,12.213,11.297,0.036980,97.844,,
154,FEMS MICROBIOLOGY REVIEWS,"10,381",,12.198,14.754,0.018280,96.400,,
155,Nature Reviews Rheumatology,"5,316",,12.188,12.192,0.020500,95.000,,
156,Nature Reviews Nephrology,"3,710",,12.146,10.265,0.014800,98.052,,
157,Annual Review of Clinical Psychology,"4,063",,12.136,15.500,0.010140,98.170,,
157,Annual Review of Clinical Psychology,"4,063",,12.136,15.500,0.010140,98.170,,
159,ADVANCED FUNCTIONAL MATERIALS,"67,188",,12.124,12.362,0.147770,92.935,,
159,Nature Communications,"123,958",,12.124,13.092,0.721690,96.094,,
161,INTENSIVE CARE MEDICINE,"20,100",,12.015,8.465,0.035310,92.424,,
